,index,temperature,liq_benzene,vap_benzene
0,25,368.3235294,0.398925786,0.621319515
1,26,368.44117650000004,0.39526391,0.617619759
2,27,368.55882349999996,0.39161456899999997,0.613906686
3,28,368.6764706,0.387977691,0.61018025
4,29,368.79411760000005,0.38435320100000003,0.606440404
5,30,368.9117647,0.38074102600000004,0.602687104
6,31,369.02941180000005,0.377141094,0.598920302
7,32,369.1470588,0.373553331,0.595139953
8,33,369.26470589999997,0.369977667,0.5913460110000001
9,34,369.38235289999994,0.36641402799999995,0.58753843
10,35,369.5,0.362862343,0.583717162
11,36,369.61764710000006,0.359322541,0.579882161
12,37,369.73529410000003,0.355794551,0.576033381
13,38,369.8529412,0.352278301,0.5721707739999999
14,39,369.97058819999995,0.34877372100000004,0.568294293
15,40,370.0882353,0.345280741,0.5644038920000001
16,41,370.20588239999995,0.341799291,0.5604995229999999
17,42,370.3235294,0.338329301,0.556581139
18,43,370.44117650000004,0.334870703,0.552648691
19,44,370.55882349999996,0.331423426,0.5487021320000001
20,45,370.6764706,0.327987402,0.544741415
21,46,370.79411760000005,0.324562563,0.54076649
22,47,370.9117647,0.32114884,0.536777311
23,48,371.02941180000005,0.317746165,0.532773829
24,49,371.1470588,0.314354471,0.528755994
